Date,USD
2021/1/1,"1,887.6"
2021/1/4,"1,943.2"
2021/1/5,"1,940.4"
2021/1/6,"1,932.0"
2021/1/7,"1,920.1"
2021/1/8,"1,862.9"
2021/1/11,"1,847.3"
2021/1/12,"1,841.3"
2021/1/13,"1,858.9"
2021/1/14,"1,841.8"
2021/1/15,"1,839.0"
2021/1/18,"1,833.1"
2021/1/19,"1,834.7"
2021/1/20,"1,856.6"
2021/1/21,"1,862.1"
2021/1/22,"1,852.7"
2021/1/25,"1,856.9"
2021/1/26,"1,856.6"
2021/1/27,"1,843.0"
2021/1/28,"1,853.7"
2021/1/29,"1,863.8"
2021/2/1,"1,863.0"
2021/2/2,"1,833.1"
2021/2/3,"1,835.5"
2021/2/4,"1,785.9"
2021/2/5,"1,803.0"
2021/2/8,"1,835.3"
2021/2/9,"1,839.6"
2021/2/10,"1,842.7"
2021/2/11,"1,840.1"
2021/2/12,"1,816.4"
2021/2/15,"1,817.3"
2021/2/16,"1,794.3"
2021/2/17,"1,780.7"
2021/2/18,"1,773.2"
2021/2/19,"1,786.2"
2021/2/22,"1,807.5"
2021/2/23,"1,799.7"
2021/2/24,"1,788.0"
2021/2/25,"1,779.7"
2021/2/26,"1,742.9"
2021/3/1,"1,734.2"
2021/3/2,"1,723.9"
2021/3/3,"1,711.4"
2021/3/4,"1,712.1"
2021/3/5,"1,696.3"
2021/3/8,"1,687.1"
2021/3/9,"1,716.9"
2021/3/10,"1,716.2"
2021/3/11,"1,724.3"
2021/3/12,"1,704.8"
2021/3/15,"1,723.7"
2021/3/16,"1,735.0"
2021/3/17,"1,729.7"
2021/3/18,"1,725.9"
2021/3/19,"1,735.2"
2021/3/22,"1,736.2"
2021/3/23,"1,726.2"
2021/3/24,"1,730.5"
2021/3/25,"1,737.3"
2021/3/26,"1,731.8"
2021/3/29,"1,706.0"
2021/3/30,"1,684.0"
2021/3/31,"1,691.1"
2021/4/1,"1,726.1"
2021/4/2,"1,726.1"
2021/4/5,"1,726.1"
2021/4/6,"1,744.7"
2021/4/7,"1,738.1"
2021/4/8,"1,755.5"
2021/4/9,"1,741.2"
2021/4/12,"1,732.9"
2021/4/13,"1,748.0"
2021/4/14,"1,735.6"
2021/4/15,"1,757.2"
2021/4/16,"1,774.5"
2021/4/19,"1,774.5"
2021/4/20,"1,777.9"
2021/4/21,"1,798.2"
2021/4/22,"1,787.8"
2021/4/23,"1,781.8"
2021/4/26,"1,773.4"
2021/4/27,"1,784.2"
2021/4/28,"1,772.2"
2021/4/29,"1,762.7"
2021/4/30,"1,767.7"
2021/5/3,"1,767.7"
2021/5/4,"1,797.8"
2021/5/5,"1,782.3"
2021/5/6,"1,813.2"
2021/5/7,"1,836.6"
2021/5/10,"1,840.5"
2021/5/11,"1,829.1"
2021/5/12,"1,830.7"
2021/5/13,"1,821.8"
2021/5/14,"1,838.1"
2021/5/17,"1,853.7"
2021/5/18,"1,866.8"
2021/5/19,"1,888.5"
2021/5/20,"1,878.3"
2021/5/21,"1,875.9"
2021/5/24,"1,880.2"
2021/5/25,"1,887.0"
2021/5/26,"1,899.8"
2021/5/27,"1,891.5"
2021/5/28,"1,900.0"
2021/5/31,"1,900.0"
2021/6/1,"1,899.4"
2021/6/2,"1,902.8"
2021/6/3,"1,866.6"
2021/6/4,"1,890.6"
2021/6/7,"1,888.4"
2021/6/8,"1,893.2"
2021/6/9,"1,894.6"
2021/6/10,"1,888.7"
2021/6/11,"1,881.1"
2021/6/14,"1,865.6"
2021/6/15,"1,865.1"
2021/6/16,"1,860.8"
2021/6/17,"1,778.7"
2021/6/18,"1,773.1"
2021/6/21,"1,775.1"
2021/6/22,"1,775.1"
2021/6/23,"1,791.6"
2021/6/24,"1,784.9"
2021/6/25,"1,786.7"
2021/6/28,"1,780.3"
2021/6/29,"1,755.5"
2021/6/30,"1,763.2"
2021/7/1,"1,781.5"
2021/7/2,"1,786.2"
2021/7/5,"1,791.4"
2021/7/6,"1,809.9"
2021/7/7,"1,804.7"
2021/7/8,"1,807.7"
2021/7/9,"1,806.0"
2021/7/12,"1,792.4"
2021/7/13,"1,813.9"
2021/7/14,"1,823.2"
2021/7/15,"1,823.8"
2021/7/16,"1,824.3"
2021/7/19,"1,814.9"
2021/7/20,"1,823.1"
2021/7/21,"1,802.2"
2021/7/22,"1,799.5"
2021/7/23,"1,799.6"
2021/7/26,"1,800.2"
2021/7/27,"1,800.4"
2021/7/28,"1,796.6"
2021/7/29,"1,829.3"
2021/7/30,"1,825.8"
2021/8/2,"1,811.5"
2021/8/3,"1,812.7"
2021/8/4,"1,829.1"
2021/8/5,"1,800.8"
2021/8/6,"1,762.9"
2021/8/9,"1,738.9"
2021/8/10,"1,723.4"
2021/8/11,"1,743.6"
2021/8/12,"1,747.4"
2021/8/13,"1,773.9"
2021/8/16,"1,786.4"
2021/8/17,"1,789.5"
2021/8/18,"1,783.5"
2021/8/19,"1,782.1"
2021/8/20,"1,779.1"
2021/8/23,"1,802.0"
2021/8/24,"1,808.5"
2021/8/25,"1,788.7"
2021/8/26,"1,786.6"
2021/8/27,"1,798.5"
2021/8/30,"1,798.5"
2021/8/31,"1,814.9"
2021/9/1,"1,811.8"
2021/9/2,"1,812.6"
2021/9/3,"1,823.7"
2021/9/6,"1,821.6"
2021/9/7,"1,802.2"
2021/9/8,"1,786.0"
2021/9/9,"1,788.3"
2021/9/10,"1,794.6"
2021/9/13,"1,793.9"
2021/9/14,"1,792.8"
2021/9/15,"1,797.0"
2021/9/16,"1,748.0"
2021/9/17,"1,756.0"
2021/9/20,"1,757.8"
2021/9/21,"1,774.5"
2021/9/22,"1,773.4"
2021/9/23,"1,750.0"
2021/9/24,"1,746.8"
2021/9/27,"1,755.3"
2021/9/28,"1,733.8"
2021/9/29,"1,737.2"
2021/9/30,"1,742.8"
2021/10/1,"1,757.1"
2021/10/4,"1,754.6"
2021/10/5,"1,753.2"
2021/10/6,"1,759.7"
2021/10/7,"1,762.1"
2021/10/8,"1,773.3"
2021/10/11,"1,757.7"
2021/10/12,"1,767.8"
2021/10/13,"1,785.7"
2021/10/14,"1,798.7"
2021/10/15,"1,772.7"
2021/10/18,"1,767.9"
2021/10/19,"1,779.6"
2021/10/20,"1,778.0"
2021/10/21,"1,779.3"
2021/10/22,"1,808.3"
2021/10/25,"1,805.3"
2021/10/26,"1,785.6"
2021/10/27,"1,795.3"
2021/10/28,"1,803.5"
2021/10/29,"1,769.2"
2021/11/1,"1,793.8"
2021/11/2,"1,790.5"
2021/11/3,"1,763.5"
2021/11/4,"1,796.2"
2021/11/5,"1,801.9"
2021/11/8,"1,822.4"
2021/11/9,"1,827.3"
2021/11/10,"1,859.4"
2021/11/11,"1,857.9"
2021/11/12,"1,860.6"
2021/11/15,"1,859.9"
2021/11/16,"1,859.2"
2021/11/17,"1,864.9"
2021/11/18,"1,860.3"
2021/11/19,"1,861.1"
2021/11/22,"1,816.1"
2021/11/23,"1,789.2"
2021/11/24,"1,782.1"
2021/11/25,"1,788.2"
2021/11/26,"1,800.8"
2021/11/29,"1,786.0"
2021/11/30,"1,804.4"
2021/12/1,"1,789.3"
2021/12/2,"1,765.0"
2021/12/3,"1,767.6"
2021/12/6,"1,778.7"
2021/12/7,"1,781.4"
2021/12/8,"1,783.8"
2021/12/9,"1,776.2"
2021/12/10,"1,779.8"
2021/12/13,"1,787.8"
2021/12/14,"1,776.9"
2021/12/15,"1,768.7"
2021/12/16,"1,795.7"
2021/12/17,"1,807.7"
2021/12/20,"1,796.3"
2021/12/21,"1,793.8"
2021/12/22,"1,792.8"
2021/12/23,"1,805.2"
2021/12/24,"1,805.2"
2021/12/27,"1,805.2"
2021/12/28,"1,805.2"
2021/12/29,"1,794.3"
2021/12/30,"1,805.9"
2021/12/31,"1,805.9"
