Date,Sentiment_Score,Label
2021-09-22,0.199,positive
2021-09-23,-0.1406,negative
2021-09-24,-0.0971,neutral
2021-09-25,-0.1561,negative
2021-09-26,-0.1937,negative
2021-09-27,-0.2722,negative
2021-09-28,-0.1168,negative
2021-09-29,-0.1354,negative
2021-09-30,-0.2423,negative
2021-10-01,0.1424,positive
2021-10-02,-0.2644,negative
2021-10-03,-0.1453,negative
2021-10-04,-0.2431,negative
2021-10-05,-0.0381,neutral
2021-10-06,-0.2906,negative
2021-10-07,-0.2906,negative
2021-10-08,0.0081,neutral
2021-10-09,-0.1228,negative
2021-10-10,0.2479,positive
2021-10-11,0.1153,positive
2021-10-12,0.2834,positive
2021-10-13,-0.0568,neutral
2021-10-14,-0.1068,negative
2021-10-15,0.0586,neutral
2021-10-16,-0.1593,negative
2021-10-17,0.0555,neutral
2021-10-18,0.2794,positive
2021-10-19,-0.184,negative
2021-10-20,0.0668,neutral
2021-10-21,-0.1868,negative
2021-10-22,0.2106,positive
2021-10-23,0.123,positive
2021-10-24,0.0719,neutral
2021-10-25,0.1063,positive
2021-10-26,0.1661,positive
2021-10-27,0.2747,positive
2021-10-28,0.1127,positive
2021-10-29,0.0663,neutral
2021-10-30,0.0843,neutral
2021-10-31,0.1981,positive
2021-11-01,-0.004,neutral
2021-11-02,0.0802,neutral
2021-11-03,0.022,neutral
2021-11-04,0.1974,positive
2021-11-05,0.0867,neutral
2021-11-06,0.0748,neutral
2021-11-07,0.0182,neutral
2021-11-08,-0.0217,neutral
2021-11-09,-0.0405,neutral
2021-11-10,0.1649,positive
2021-11-11,-0.0194,neutral
2021-11-12,-0.02,neutral
2021-11-13,-0.0518,neutral
2021-11-14,0.0049,neutral
2021-11-15,0.0083,neutral
2021-11-16,-0.0564,neutral
2021-11-17,-0.0269,neutral
2021-11-18,-0.0835,neutral
2021-11-19,0.0083,neutral
2021-11-20,-0.0271,neutral
2021-11-21,-0.1973,negative
2021-11-22,0.0266,neutral
2021-11-23,0.0074,neutral
2021-11-24,-0.0127,neutral
2021-11-25,0.0765,neutral
2021-11-26,-0.0072,neutral
2021-11-27,-0.0026,neutral
2021-11-28,0.0519,neutral
2021-11-29,-0.0312,neutral
2021-11-30,-0.0187,neutral
2021-12-01,0.0629,neutral
2021-12-02,0.075,neutral
2021-12-03,0.0127,neutral
2021-12-04,-0.0802,neutral
2021-12-05,-0.0481,neutral
2021-12-06,-0.0751,neutral
2021-12-07,0.0078,neutral
2021-12-08,-0.0008,neutral
2021-12-09,0.0052,neutral
2021-12-10,0.0502,neutral
2021-12-11,0.0015,neutral
2021-12-12,0.0139,neutral
2021-12-13,0.0263,neutral
2021-12-14,0.0405,neutral
2021-12-15,0.0553,neutral
2021-12-16,0.0613,neutral
2021-12-17,-0.0151,neutral
2021-12-18,-0.0287,neutral
2021-12-19,0.0673,neutral
2021-12-20,0.0332,neutral
2021-12-21,-0.0786,neutral
2021-12-22,0.0674,neutral
2021-12-23,0.0658,neutral
2021-12-24,0.0023,neutral
2021-12-25,-0.0992,neutral
2021-12-26,-0.054,neutral
2021-12-27,-0.0106,neutral
2021-12-28,0.0536,neutral
2021-12-29,0.0071,neutral
2021-12-30,0.0669,neutral
2021-12-31,-0.0278,neutral
2022-01-01,-0.0435,neutral
2022-01-02,-0.0762,neutral
