Date,Sentiment_Score,Label
2023/4/1,0.0349,neutral
2023/4/2,-0.0953,neutral
2023/4/3,0.0316,neutral
2023/4/4,0.037,neutral
2023/4/5,0.051,neutral
2023/4/6,0.1631,positive
2023/4/7,-0.029,neutral
2023/4/8,0.0148,neutral
2023/4/9,-0.0397,neutral
2023/4/10,0.0292,neutral
2023/4/11,0.0572,neutral
2023/4/12,-0.0151,neutral
2023/4/13,0.1008,positive
2023/4/14,0.1603,positive
2023/4/15,-0.0763,neutral
2023/4/16,-0.0803,neutral
2023/4/17,-0.0229,neutral
2023/4/18,-0.0883,neutral
2023/4/19,-0.0635,neutral
2023/4/20,0.0634,neutral
2023/4/21,-0.0149,neutral
2023/4/22,-0.0096,neutral
2023/4/23,-0.1867,negative
2023/4/24,-0.0422,neutral
2023/4/25,0.0062,neutral
2023/4/26,-0.0623,neutral
2023/4/27,0.0242,neutral
2023/4/28,0.0108,neutral
2023/4/29,0.0392,neutral
2023/4/30,-0.0079,neutral
2023/5/1,-0.0863,neutral
2023/5/2,-0.0838,neutral
2023/5/3,-0.086,neutral
2023/5/4,-0.0078,neutral
2023/5/5,-0.0633,neutral
2023/5/6,-0.0865,neutral
2023/5/7,-0.0992,neutral
2023/5/8,-0.0398,neutral
2023/5/9,-0.0899,neutral
2023/5/10,-0.109,negative
2023/5/11,-0.0091,neutral
2023/5/12,-0.0856,neutral
2023/5/13,-0.1009,negative
2023/5/14,-0.0862,neutral
2023/5/15,-0.0286,neutral
2023/5/16,-0.0709,neutral
2023/5/17,-0.1163,negative
2023/5/18,-0.1079,negative
2023/5/19,-0.0108,neutral
2023/5/20,-0.0119,neutral
2023/5/21,-0.0346,neutral
2023/5/22,-0.0727,neutral
2023/5/23,-0.091,neutral
2023/5/24,-0.0399,neutral
2023/5/25,-0.1359,negative
2023/5/26,-0.3099,negative
2023/5/27,-0.0876,neutral
2023/5/28,-0.0344,neutral
2023/5/29,-0.1031,negative
2023/5/30,-0.1431,negative
2023/5/31,-0.1742,negative
2023/6/1,-0.0523,neutral
2023/6/2,-0.0989,neutral
2023/6/3,-0.076,neutral
2023/6/4,-0.0687,neutral
2023/6/5,-0.159,negative
2023/6/6,-0.0392,neutral
2023/6/7,-0.3143,negative
2023/6/8,-0.0158,neutral
2023/6/9,-0.0384,neutral
